x                            q                            q*                       q - q*
1.0000000000000000           1.0000000000000000           0.0000000000000000       1.0000000000000000
1.1250000000000000           1.1250000000000000           0.0000000000000000       1.1250000000000000
1.2500000000000000           1.2500000000000000           0.0000000000000000       1.2500000000000000
1.3750000000000000           1.3750000000000000           0.0000000000000000       1.3750000000000000
1.5000000000000000           1.5000000000000000           0.0000000000000000       1.5000000000000000
1.6250000000000000           1.6250000000000000           0.0000000000000000       1.6250000000000000
1.7500000000000000           1.7500000000000000           0.0000000000000000       1.7500000000000000
1.8750000000000000           1.8750000000000000           0.0000000000000000       1.8750000000000000
2.0000000000000000           2.0000000000000000           0.0000000000000000       2.0000000000000000
2.1250000000000000           2.1250000000000000           0.0000000000000000       2.1250000000000000
2.2500000000000000           2.2500000000000000           0.0000000000000000       2.2500000000000000
2.3750000000000000           2.3750000000000000           0.0000000000000000       2.3750000000000000
2.5000000000000000           2.5000000000000000           0.0000000000000000       2.5000000000000000
2.6250000000000000           2.6250000000000000           0.0000000000000000       2.6250000000000000
2.7500000000000000           2.7500000000000000           0.0000000000000000       2.7500000000000000
2.8750000000000000           2.8750000000000000           0.0000000000000000       2.8750000000000000
3.0000000000000000           3.0000000000000000           0.0000000000000000       3.0000000000000000
